Blog Name,Owner,Site Link,Submission Guidelines,Contact,Notes
100 Grand On My Wrist ,Jomar,http://www.100grandonmywrist.com/,,,not active
1200,Jomar,http://www.1200squad.com/,,info@1200squad.com,for DJs
1520Culture.com ,Jomar,,,,blog not active
1st Class Citizens ,Jomar,,,,blog not active
210Presents ,Jomar,,,,
256Up ,Jomar,,,,
The 273 ,Jomar,,,,
2Dopeboyz ,Jomar,,,,
2KLife.net ,Jomar,,,,
2L's on a Cloud ,Jomar,,,,
321HipHop ,Jomar,,,,
40's and Phillies ,Jomar,,,,
457fm ,Jomar,,,,
The 65 Connection ,Jomar,,,,
718Unlimited ,Jomar,,,,
7th Boro ,Jomar,,,,
808Crate ,Jomar,,,,
84Area ,Jomar,,,,
the9elements ,Jomar,,,,
"94Twenty.com(""Featured Blog Posts and Forums to submit music for critique"") ",Jomar,,,,
A3C Hip Hop Blog ,Jomar,,,,
Act Live ,Jomar,,,,
Actual Facts ,Jomar,,,,
Adramatic ,Jomar,,,,
Advent Outpost ,Jomar,,,,
The African Hip Hop Blog (For African Artists Only) ,Jomar,,,,
A Girl and Her Hip Hop ,Jomar,,,,
allaussie ,Jomar,,,,
All Hip Hop ,Jomar,,,,
All In a Days Work ,Jomar,,,,
Al Lindstrom ,Jomar,,,,
All That Dope Sh*t ,Jomar,,,,
All Things Deluxe ,Jomar,,,,
All Unsigned ,Jomar,,,,
AllWeGotIsUs ,Jomar,,,,
Ambrosia for Heads ,Jomar,,,,
Arena ,Jomar,,,,
Argonautix ,Jomar,,,,
Artistic Manifesto ,Jomar,,,,
ArtistsOfHipHop ,Jomar,,,,
Ashes and Drinks ,Jomar,,,,
Ashley Outrageous ,Jomar,,,,
Associated Fresh ,Jomar,,,,
As We Proceed SD ,Jomar,,,,
ATLjunkie Atrilli ,Jomar,,,,
The Audacity of Dope ,Jomar,,,,
Audio Castle ,Jomar,,,,
Audio Feign ,Jomar,,,,
Audio Politics ,Jomar,,,,
Australian Hip Hop ,Jomar,,,,
Authentic Hustle ,Jomar,,,,
AYEBRO Blog ,Jomar,,,,
AvaTheAnarchist ,Jomar,,,,
Back2Pluto ,Jomar,,,,
Backpacks & Traps ,Jomar,,,,
Bad Magics ,Jomar,,,,
Bad-Perm ,Jomar,,,,
BarrelhouseBKLYN ,Jomar,,,,
Bbarak bdtb ,Jomar,,,,
Beat Apes (For Beatmakers Exclusively) ,Jomar,,,,
Beatmecca (For Beatmakers Exclusively) ,Jomar,,,,
Beats And Blood Beatspill Beat Tape Co-Op (For Beatmakers Exclusively) ,Jomar,,,,
Beat Trotterz ,Jomar,,,,
Best Rapper Alive ,Jomar,,,,
Bigspin Birthplace Magazine ,Jomar,,,,
Blackout Hip Hop ,Jomar,,,,
BlackSheepSound ,Jomar,,,,
Blazin Streetz.com ,Jomar,,,,
BLKDMNDS ,Jomar,,,,
Blog or Die PGH ,Jomar,,,,
# BMMM ,Jomar,,,,
BNHH ,Jomar,,,,
Boi-1da ,Jomar,,,,
Bombay Knox ,Jomar,,,,
Bonafide ,Jomar,,,,
Boom Bap Nation ,Jomar,,,,
Boombap.org ,Jomar,,,,
Border Magazine ,Jomar,,,,
Bound 2 Hip Hop ,Jomar,,,,
Brain of BMW ,Jomar,,,,
Bread Over ,Jomar,,,,
Bed Breal.TV ,Jomar,,,,
Brick To Ya Face ,Jomar,,,,
Brightside Live ,Jomar,,,,
Bring Ya Eh Game ,Jomar,,,,
British Hip Hop ,Jomar,,,,
Broke2Dope ,Jomar,,,,
Brosymusic ,Jomar,,,,
The Brown Kid Blog ,Jomar,,,,
B's and 3's ,Jomar,,,,
Cabezas Underground ,Jomar,,,,
Carbon Rose Magazine ,Jomar,,,,
Carolina On The Rise ,Jomar,,,,
Ceez World ,Jomar,,,,
Chan Lo ,Jomar,,,,
Chi-Bangerz ,Jomar,,,,
Chi-City Hip Hop ,Jomar,,,,
Chineur De Sons ,Jomar,,,,
Chops and Kicks ,Jomar,,,,
The Chronicles of Aqua ,Jomar,,,,
The Chuckness Circa ,Jomar,,,,
85 City On Clouds ,Jomar,,,,
City On My Back ,Jomar,,,,
Coast 2 Coast Mixtapes ,Jomar,,,,
C.O.B. XII. ,Jomar,,,,
Cocaine Phre$h ,Jomar,,,,
Collectors Item ,Jomar,,,,
College Dj ,Jomar,,,,
The Come Up Show ,Jomar,,,,
Tha Commonwealth ,Jomar,,,,
Complex Music ,Jomar,,,,
Connect Da Dot ,Jomar,,,,
Coolest Rap Blog ,Jomar,,,,
Cool Hype Radio ,Jomar,,,,
CrackedAtoms ,Jomar,,,,
Cratescienz ,Jomar,,,,
CrayonBeats ,Jomar,,,,
Cream Magazine ,Jomar,,,,
Creative Beach ,Jomar,,,,
Crunk Atlanta ,Jomar,,,,
The Crypt ,Jomar,,,,
Culture73 ,Jomar,,,,
Culture King ,Jomar,,,,
Curb Weight ,Jomar,,,,
Daily Chiefers ,Jomar,,,,
TheDailyDose ,Jomar,,,,
The Daily Loud ,Jomar,,,,
Daily Rap ,Jomar,,,,
Da Leak ,Jomar,,,,
Damaging The Streets ,Jomar,,,,
Dats Dope ,Jomar,,,,
Da-What.com ,Jomar,,,,
Day & A Dream ,Jomar,,,,
DEAD Magazine ,Jomar,,,,
Dead End Hip Hop ,Jomar,,,,
Deadly Beatz ,Jomar,,,,
Death Chamberz Music ,Jomar,,,,
Definition of Fresh ,Jomar,,,,
Def Pen Radio ,Jomar,,,,
DelCity Radio ,Jomar,,,,
Desi Hip Hop ,Jomar,,,,
